"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","204","should disable login button when fields are empty","chromium","Thu Oct 16 14:40:01 IST 2025","passed","Thu Oct 16 14:40:01 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","439","should display login form","webkit","Thu Oct 16 14:40:21 IST 2025","passed","Thu Oct 16 14:40:21 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","818","should show success message for correct credentials","firefox","Thu Oct 16 14:40:14 IST 2025","passed","Thu Oct 16 14:40:14 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","583","should show error message for incorrect credentials","webkit","Thu Oct 16 14:40:21 IST 2025","passed","Thu Oct 16 14:40:22 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","873","should display login form","firefox","Thu Oct 16 14:40:13 IST 2025","passed","Thu Oct 16 14:40:14 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","867","has title","webkit","Thu Oct 16 14:40:17 IST 2025","passed","Thu Oct 16 14:40:18 IST 2025","","example.spec.js","",""
"","544","should show error when username is empty","webkit","Thu Oct 16 14:40:18 IST 2025","passed","Thu Oct 16 14:40:18 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","656","should have navigation links working","firefox","Thu Oct 16 14:40:12 IST 2025","passed","Thu Oct 16 14:40:12 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","287","should have navigation links working","webkit","Thu Oct 16 14:40:20 IST 2025","passed","Thu Oct 16 14:40:20 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","421","should display Bio section correctly","webkit","Thu Oct 16 14:40:20 IST 2025","passed","Thu Oct 16 14:40:21 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","488","should enable login button when both fields are filled","webkit","Thu Oct 16 14:40:19 IST 2025","passed","Thu Oct 16 14:40:20 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","263","should require both fields before login","chromium","Thu Oct 16 14:40:02 IST 2025","passed","Thu Oct 16 14:40:02 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","681","should require both fields before login","firefox","Thu Oct 16 14:40:14 IST 2025","passed","Thu Oct 16 14:40:15 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","713","should display Bio section correctly","firefox","Thu Oct 16 14:40:12 IST 2025","passed","Thu Oct 16 14:40:13 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","678","should load the homepage correctly","firefox","Thu Oct 16 14:40:11 IST 2025","passed","Thu Oct 16 14:40:12 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","711","should enable login button when both fields are filled","firefox","Thu Oct 16 14:40:10 IST 2025","passed","Thu Oct 16 14:40:11 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","455","should disable login button when fields are empty","webkit","Thu Oct 16 14:40:19 IST 2025","passed","Thu Oct 16 14:40:20 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","278","should show success message for correct credentials","chromium","Thu Oct 16 14:40:02 IST 2025","passed","Thu Oct 16 14:40:02 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","197","should display login form","chromium","Thu Oct 16 14:40:02 IST 2025","passed","Thu Oct 16 14:40:02 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","322","should show error when username is empty","chromium","Thu Oct 16 14:40:00 IST 2025","passed","Thu Oct 16 14:40:00 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","289","should show success message for correct credentials","chromium","Thu Oct 16 14:40:01 IST 2025","passed","Thu Oct 16 14:40:01 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","977","should show success message for correct credentials","firefox","Thu Oct 16 14:40:11 IST 2025","passed","Thu Oct 16 14:40:12 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","245","should have a sticky footer","chromium","Thu Oct 16 14:40:01 IST 2025","passed","Thu Oct 16 14:40:02 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","549","should require both fields before login","webkit","Thu Oct 16 14:40:22 IST 2025","passed","Thu Oct 16 14:40:22 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","271","should show error when password is empty","chromium","Thu Oct 16 14:40:00 IST 2025","passed","Thu Oct 16 14:40:01 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","280","should enable login button when both fields are filled","chromium","Thu Oct 16 14:40:01 IST 2025","passed","Thu Oct 16 14:40:01 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","6554","has title","firefox","Thu Oct 16 14:40:03 IST 2025","passed","Thu Oct 16 14:40:10 IST 2025","","example.spec.js","",""
"","1562","get started link","webkit","Thu Oct 16 14:40:17 IST 2025","passed","Thu Oct 16 14:40:19 IST 2025","","example.spec.js","",""
"","128","should have navigation links working","chromium","Thu Oct 16 14:40:01 IST 2025","passed","Thu Oct 16 14:40:01 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","537","should disable login button when fields are empty","firefox","Thu Oct 16 14:40:10 IST 2025","passed","Thu Oct 16 14:40:10 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","331","should load the homepage correctly","webkit","Thu Oct 16 14:40:20 IST 2025","passed","Thu Oct 16 14:40:20 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","926","should have a sticky footer","firefox","Thu Oct 16 14:40:13 IST 2025","passed","Thu Oct 16 14:40:13 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","304","should show error message for incorrect credentials","chromium","Thu Oct 16 14:40:02 IST 2025","passed","Thu Oct 16 14:40:02 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","3397","get started link","firefox","Thu Oct 16 14:40:03 IST 2025","passed","Thu Oct 16 14:40:07 IST 2025","","example.spec.js","",""
"","669","should show error when username is empty","firefox","Thu Oct 16 14:40:08 IST 2025","passed","Thu Oct 16 14:40:09 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","2437","get started link","chromium","Thu Oct 16 14:39:58 IST 2025","passed","Thu Oct 16 14:40:00 IST 2025","","example.spec.js","",""
"","188","should load the homepage correctly","chromium","Thu Oct 16 14:40:01 IST 2025","passed","Thu Oct 16 14:40:01 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","265","should display Bio section correctly","chromium","Thu Oct 16 14:40:01 IST 2025","passed","Thu Oct 16 14:40:02 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
"","621","should show success message for correct credentials","webkit","Thu Oct 16 14:40:21 IST 2025","passed","Thu Oct 16 14:40:21 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","1006","should show error message for incorrect credentials","firefox","Thu Oct 16 14:40:14 IST 2025","passed","Thu Oct 16 14:40:15 IST 2025","Login Page Tests","testsuitelogin.spec.js","",""
"","634","should show error when password is empty","webkit","Thu Oct 16 14:40:18 IST 2025","passed","Thu Oct 16 14:40:19 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","1647","has title","chromium","Thu Oct 16 14:39:58 IST 2025","passed","Thu Oct 16 14:40:00 IST 2025","","example.spec.js","",""
"","721","should show success message for correct credentials","webkit","Thu Oct 16 14:40:20 IST 2025","passed","Thu Oct 16 14:40:20 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","716","should show error when password is empty","firefox","Thu Oct 16 14:40:09 IST 2025","passed","Thu Oct 16 14:40:10 IST 2025","Login Form Validation and UI Behavior","testsuite.loginvalidation.spec.js","",""
"","385","should have a sticky footer","webkit","Thu Oct 16 14:40:20 IST 2025","passed","Thu Oct 16 14:40:21 IST 2025","Personal Website for Playwright","testsuite.spec.js","",""
